Prefijo,Categoria,Subcategoria,MaxNumero,Count,NextCodigo,Tipo
CCC,Maderas,Maderas reconstituidas,5233,1,CCC5234,MATERIALES
MAA,Hormigones y morteros,Hormigones,6389,65,MAA6390,MATERIALES
MAB,Hormigones y morteros,Morteros,5852,48,MAB5853,MATERIALES
MAC,Hormigones y morteros,Cementos,4145,12,MAC4146,MATERIALES
MAD,Hormigones y morteros,Cal y yeso,3738,15,MAD3739,MATERIALES
MAE,Hormigones y morteros,Aridos,6482,89,MAE6483,MATERIALES
MAF,Hormigones y morteros,Aditivos,6981,149,MAF6982,MATERIALES
MAG,Hormigones y morteros,Postes de hormigon,7212,10,MAG7213,MATERIALES
MAH,Hormigones y morteros,Resinas epoxicas,6535,23,MAH6536,MATERIALES
MAI,Hormigones y morteros,Desmoldantes,5977,30,MAI5978,MATERIALES
MAJ,Hormigones y morteros,Materiales para juntas de dila,6537,28,MAJ6538,MATERIALES
MAK,Hormigones y morteros,Separadores de moldaje,6452,3,MAK6453,MATERIALES
MAL,Hormigones y morteros,Membrana de curado,6534,32,MAL6535,MATERIALES
MAM,Hormigones y morteros,Otros,2239,13,MAM2240,MATERIALES
MAN,Hormigones y morteros,Prefabricados,7,7,MAN8,MATERIALES
MBA,Ladrillos y bloques,Ladrillos,6406,19,MBA6407,MATERIALES
MBC,Ladrillos y bloques,Cemento,7221,36,MBC7222,MATERIALES
MCA,Maderas,Maderas en bruto,7881,73,MCA7882,MATERIALES
MCB,Maderas,Maderas elaboradas,7880,81,MCB7881,MATERIALES
MCC,Maderas,Maderas reconstituidas,6924,93,MCC6925,MATERIALES
MCD,Maderas,Tableros revestidos,6909,100,MCD6910,MATERIALES
MCF,Maderas,Postes,5833,13,MCF5834,MATERIALES
MCG,Maderas,Casetas prefabricadas,6768,5,MCG6769,MATERIALES
MCH,Maderas,Molduras de maderas,7034,41,MCH7035,MATERIALES
MCI,Maderas,Otros,6704,20,MCI6705,MATERIALES
MDA,Metales,Acero redondo con resaltes,3354,9,MDA3355,MATERIALES
MDB,Metales,Acero redondo liso,3578,9,MDB3579,MATERIALES
MDC,Metales,Alambres,2010,14,MDC2011,MATERIALES
MDD,Metales,Acero en perfiles,6757,137,MDD6758,MATERIALES
MDE,Metales,Planchas,4478,22,MDE4479,MATERIALES
MDF,Metales,Mallas,6941,22,MDF6942,MATERIALES
MDG,Metales,"Tornillos, pernos, tuercas y r",6962,157,MDG6963,MATERIALES
MDH,Metales,"Clavos, puntas y grapas",6669,42,MDH6670,MATERIALES
MDI,Metales,Aluminio,6101,122,MDI6102,MATERIALES
MDJ,Metales,Fijaciones,6411,32,MDJ6412,MATERIALES
MDK,Metales,Mallas dimensionadas de alta r,5784,9,MDK5785,MATERIALES
MDL,Metales,Otros,7669,38,MDL7670,MATERIALES
MEA,"Muros, tabiques y losas",Paneles,7223,64,MEA7224,MATERIALES
MEB,"Muros, tabiques y losas",Losas,5775,14,MEB5776,MATERIALES
MED,"Muros, tabiques y losas",Otros,5393,11,MED5394,MATERIALES
MFA,"Pinturas, barnices y papeles m",Esmaltes,6549,28,MFA6550,MATERIALES
MFB,"Pinturas, barnices y papeles m",Oleos,7517,42,MFB7518,MATERIALES
MFC,"Pinturas, barnices y papeles m",Latex,6225,51,MFC6226,MATERIALES
MFD,"Pinturas, barnices y papeles m",Anticorrosivos,6480,44,MFD6481,MATERIALES
MFE,"Pinturas, barnices y papeles m",Barnices y aceites,6541,40,MFE6542,MATERIALES
MFF,"Pinturas, barnices y papeles m",Revestimientos continuos,6837,30,MFF6838,MATERIALES
MFG,"Pinturas, barnices y papeles m",Papeles murales,5527,34,MFG5528,MATERIALES
MFH,"Pinturas, barnices y papeles m",Pastas,5137,38,MFH5138,MATERIALES
MFI,"Pinturas, barnices y papeles m",Diluyentes,6721,15,MFI6722,MATERIALES
MFJ,"Pinturas, barnices y papeles m",Lacas y selladores,6344,8,MFJ6345,MATERIALES
MFK,"Pinturas, barnices y papeles m",Anilinas y extractos,4093,1,MFK4094,MATERIALES
MFL,"Pinturas, barnices y papeles m",Tierras,6725,15,MFL6726,MATERIALES
MFM,"Pinturas, barnices y papeles m",Pinturas para piscinas,4775,5,MFM4776,MATERIALES
MFO,"Pinturas, barnices y papeles m",Pintura para trafico,4820,49,MFO4821,MATERIALES
MFP,"Pinturas, barnices y papeles m",Otros,6822,60,MFP6823,MATERIALES
MFQ,"Pinturas, barnices y papeles m",Pintura para techos,3286,5,MFQ3287,MATERIALES
MFR,"Pinturas, barnices y papeles m",Accesorios,6843,20,MFR6844,MATERIALES
MFS,"Pinturas, barnices y papeles m",Pintura resistente al fuego,3558,4,MFS3559,MATERIALES
MGA,Revestimientos,Muros,7534,132,MGA7535,MATERIALES
MGB,Revestimientos,Cielos,4054688,48,MGB4054689,MATERIALES
MGC,Revestimientos,Cielos colgantes,6011,21,MGC6012,MATERIALES
MGD,Revestimientos,Otros,4225,4,MGD4226,MATERIALES
MGV,Revestimientos,Cielos colgantes,6015,4,MGV6016,MATERIALES
MH,Pavimentos,Otros,5800,1,MH5801,MATERIALES
MHA,Pavimentos,Ceramicas,6917,19,MHA6918,MATERIALES
MHB,Pavimentos,Baldosas,5584,85,MHB5585,MATERIALES
MHC,Pavimentos,Maderas,6556,60,MHC6557,MATERIALES
MHD,Pavimentos,Plasticos,6941,36,MHD6942,MATERIALES
MHE,Pavimentos,Alfombras,6198,70,MHE6199,MATERIALES
MHF,Pavimentos,Pastelones y adoquines de cc,5828,98,MHF5829,MATERIALES
MHG,Pavimentos,Planchas antideslizantes,3405,15,MHG3406,MATERIALES
MHH,Pavimentos,Pavimentos de hormigon colocad,6103,1,MHH6104,MATERIALES
MHI,Pavimentos,Baldosines ceramicos,6498,22,MHI6499,MATERIALES
MHJ,Pavimentos,Otros,5809,50,MHJ5810,MATERIALES
MHK,Pavimentos,Pisos de corcho alto transito,1510,4,MHK1511,MATERIALES
MHL,Pavimentos,Gradas,2848,8,MHL2849,MATERIALES
MIA,Cubiertas,Asbesto cemento,6379,78,MIA6380,MATERIALES
MIB,Cubiertas,Fierro galvanizado,6502,46,MIB6503,MATERIALES
MIC,Cubiertas,Fibra de vidrio,4316,20,MIC4317,MATERIALES
MID,Cubiertas,Tejas de arcilla,6305,9,MID6306,MATERIALES
MIE,Cubiertas,Tejas de cemento comp.,3579,18,MIE3580,MATERIALES
MIF,Cubiertas,Tejas de madera,7004,3,MIF7005,MATERIALES
MIG,Cubiertas,Accesorios,7000,68,MIG7001,MATERIALES
MIH,Cubiertas,Cubiertas de acrilico,2779,17,MIH2780,MATERIALES
MIJ,Cubiertas,Cubierta fonolita,4367,6,MIJ4368,MATERIALES
